cluster_uid,provider,prompt_id,size,cell_n,share,sig_semantic,sig_phrase,sig_setting,lighthouse_share,setting_words,fingerprint_phrases
43,openai,P03_write_variant,5,100,0.05,0.7,0.37,0.73,0.2,village(1.0) | lantern(1.0) | lamp(0.2) | river(0.2) | clock(0.2),iron post | lantern end | people said | crooked iron post | crooked iron | lane lit
44,openai,P03_write_variant,3,100,0.03,0.76,0.89,0.44,0.0,map(0.67) | meadow(0.33) | town(0.33) | grandmother(0.33) | letter(0.33),remembered rain mara | remembered rain | rain mara house | rain mara | mara house end | mara house
45,openai,P03_write_variant,11,100,0.11,0.72,0.17,0.79,1.0,lighthouse(1.0) | sea(0.91) | village(0.45) | lantern(0.36) | keeper(0.36),lighthouse remembered | old lighthouse | remembered night | lighthouse remembered night | stood lighthouse | gulls nested
46,openai,P03_write_variant,3,100,0.03,0.73,0.49,0.78,0.333,moon(1.0) | town(0.67) | bell(0.67) | village(0.67) | lamplighter(0.33),mara noticed | noticed waiting | moon climbed | moon climbed eastern | mara noticed waiting | hills exactly moment
47,openai,P03_write_variant,6,100,0.06,0.74,0.24,1.0,0.0,clockmaker(1.0) | clock(1.0) | town(1.0) | shop(0.5) | tower(0.5),clockmaker named elias | clockmaker named | named elias | town bellwether | hour town | clockmaker hour
48,openai,P03_write_variant,4,100,0.04,0.8,0.72,0.75,0.0,mountain(1.0) | village(0.75) | grandfather(0.5) | grandmother(0.25) | star(0.25),time mara heard | time mara | heard mountain | mara heard mountain | mara heard | heard mountain sing
49,openai,P04_short_variant,31,100,0.31,0.71,0.12,0.75,0.065,moon(1.0) | lantern(0.71) | star(0.55) | village(0.52) | sea(0.29),climbed hill | moon late | moon late night | late night | sky stayed | tonight sky
50,openai,P04_short_variant,25,100,0.25,0.74,0.09,0.85,1.0,lighthouse(1.0) | sea(0.88) | lamp(0.68) | keeper(0.48) | lantern(0.4),lighthouse keeper | old lighthouse | little lighthouse | fishing boat | old lighthouse keeper | great lamp
51,openai,P04_short_variant,3,100,0.03,0.73,0.0,0.78,0.0,moon(1.0) | village(0.67) | lantern(0.67) | bell(0.33) | owl(0.33),
52,openai,P04_short_variant,3,100,0.03,0.74,0.69,0.44,0.0,moon(0.67) | star(0.33) | lantern(0.33) | bell(0.33) | key(0.33),tiny door base | tiny door | base old | base old oak | old oak | mira tiny door
53,openai,P04_short_variant,5,100,0.05,0.73,0.46,1.0,0.0,tower(1.0) | clock(1.0) | village(1.0) | baker(0.6) | girl(0.4),clock tower | village stood | chimed years | tower chimed | climbed dusty stairs | dusty stairs
54,openai,P04_short_variant,3,100,0.03,0.85,0.63,0.89,0.0,girl(1.0) | lantern(1.0) | village(0.67) | forest(0.33) | shop(0.33),lantern maker | maker lived edge | maker lived | lantern maker lived | lived edge | old man
55,openai,P04_short_variant,4,100,0.04,0.78,0.62,0.33,0.0,moon(0.5) | garden(0.25) | music(0.25),tiny door | painted blue | taller hand | mara tiny | mara tiny door | brass knob
56,openai,P04_short_variant,14,100,0.14,0.81,0.21,0.5,0.0,lantern(1.0) | lamp(0.29) | town(0.21) | moon(0.14) | key(0.14),mira street | lantern end mira | lantern end | end mira | end mira street | years night
57,openai,P05_strange_variant,4,100,0.04,0.69,0.2,0.67,0.0,map(0.75) | town(0.75) | shop(0.5) | key(0.25) | bell(0.25),vending machine | edge town | stood vending machine | stood vending | softly glass | humming softly glass
58,openai,P05_strange_variant,3,100,0.03,0.68,0.7,0.67,0.0,town(1.0) | letter(0.67) | grandmother(0.33),town bellwether house | town bellwether | bellwether house | bellwether house door | house door | knew built
59,openai,P05_strange_variant,19,100,0.19,0.72,0.14,0.51,0.0,town(0.84) | map(0.58) | letter(0.11) | bell(0.11) | child(0.05),edge town | woman named | woman named mara | named mara | people avoided | opened thunderstorms
60,openai,P05_strange_variant,8,100,0.08,0.72,0.25,0.54,0.0,town(1.0) | clock(0.38) | moon(0.25) | shop(0.25) | clockmaker(0.25),town bellwether | lost shadows | town bellwether lost | bellwether lost | bellwether lost shadows | 17 town bellwether
61,openai,P05_strange_variant,3,100,0.03,0.67,0.17,0.89,0.0,clock(1.0) | town(1.0) | clockmaker(0.67) | tower(0.33) | baker(0.33),clockmaker named
62,openai,P05_strange_variant,7,100,0.07,0.72,0.38,0.53,0.0,town(1.0) | grandmother(0.29) | bell(0.29) | garden(0.14) | moon(0.14),town bellwether | house doorbell | town bellwether house | bellwether house | bellwether house doorbell | house end
63,openai,P05_strange_variant,7,100,0.07,0.72,0.37,0.43,0.0,town(1.0) | valley(0.14) | garden(0.14) | music(0.14) | shop(0.14),house doorbell | town bellwether | town bellwether house | bellwether house | bellwether house doorbell | bellwether house door
64,openai,P05_strange_variant,4,100,0.04,0.75,0.37,0.67,0.0,clock(1.0) | town(0.75) | shop(0.25) | tower(0.25) | girl(0.25),town bellwether | bellwether house | pocket watch | silver pocket | silver pocket watch | ticking backward
65,openai,P05_strange_variant,4,100,0.04,0.73,0.4,0.5,0.0,moon(1.0) | shop(0.25) | lantern(0.25),tap tap | 17 moon | thursday 17 moon | thursday 17 | moon knocked | 17 moon knocked
66,openai,P05_strange_variant,3,100,0.03,0.75,0.64,0.22,0.0,city(0.33) | moon(0.33),pipes old apartment | sink began | pipes old | mara kitchen | kitchen sink | kitchen sink began
67,openai,P06_funny_variant,4,100,0.04,0.78,0.6,0.92,0.0,librarian(1.0) | library(1.0) | book(0.75),walked library | man walked | man walked library | leaned close whispered | leaned close | close whispered
68,openai,P06_funny_variant,4,100,0.04,0.71,0.36,0.33,0.0,kingdom(0.5) | seed(0.25) | shop(0.25),like just | squirrel decided | like tiny | sit fence | morning sit | morning sit fence
69,openai,P06_funny_variant,68,100,0.68,0.81,0.08,0.39,0.0,shop(0.81) | well(0.29) | library(0.06) | sailor(0.06) | lamp(0.03),pet shop | man walked | sure silly man | sure silly | silly man | man walked pet
70,openai,P06_funny_variant,7,100,0.07,0.77,0.31,0.09,0.0,shop(0.14) | bear(0.14),buzzed said | decided going | friend dave decided | friend dave | dave decided | dave decided going
71,openai,P06_funny_variant,5,100,0.05,0.76,0.28,0.27,0.0,book(0.4) | baker(0.2) | librarian(0.2) | library(0.2),penguin walks | penguin nods | day penguin | week finally | day week | day week finally
72,openai,P07_random_setting,21,100,0.21,0.71,0.25,0.59,0.0,city(1.0) | shop(0.43) | tower(0.33) | garden(0.29) | bell(0.19),gas giant | floating city | setting floating city | setting floating | random genre | random setting floating
73,openai,P07_random_setting,16,100,0.16,0.73,0.24,0.35,0.0,moon(0.5) | lantern(0.31) | baker(0.25) | mountain(0.19) | star(0.19),floating market | setting floating market | random setting | random setting floating | setting floating | genre cozy
74,openai,P07_random_setting,15,100,0.15,0.71,0.22,0.82,1.0,lighthouse(1.0) | sea(0.87) | island(0.6) | keeper(0.4) | lantern(0.33),random setting | random setting lighthouse | setting lighthouse | genre cozy | random genre | cozy mystery
75,openai,P07_random_setting,35,100,0.35,0.7,0.17,0.69,0.029,city(1.0) | ocean(0.8) | shop(0.26) | sea(0.26) | tower(0.26),floating city | endless ocean | setting floating | setting floating city | random setting | random setting floating
76,openai,P07_random_setting,4,100,0.04,0.78,0.7,0.92,0.25,sea(1.0) | library(1.0) | librarian(0.75) | lantern(0.5) | ocean(0.25),floating library | setting floating | library stormy | random setting | setting floating library | genre cozy
77,openai,P07_random_setting,4,100,0.04,0.72,0.56,0.67,0.0,moon(0.75) | lantern(0.75) | city(0.5) | island(0.25) | mountain(0.25),gas giant | floating city | random setting floating | random setting | setting floating | genre cozy
78,openai,P08_suppression,11,100,0.11,0.71,0.22,0.61,0.0,town(1.0) | baker(0.64) | library(0.18) | bell(0.09) | boy(0.09),town brindlewick door | town brindlewick | brindlewick door | door different | different knock | door different knock
79,openai,P08_suppression,44,100,0.44,1.0,0.0,0.0,0.0,,
80,openai,P08_suppression,4,100,0.04,0.72,0.32,0.5,0.0,town(0.75) | baker(0.5) | gardener(0.25) | village(0.25) | cottage(0.25),town brindlewick | house little | red door | brindlewick house
